text,solution
also point person company’s transition kl-5 gr-6 system.,6
must’ve hands full.,6
did. did.,6
let’s talk little bit duties.,6
duties? right.,5
"you’ll heading whole division, you’ll lot duties.",6
see.,6
there’ll perhaps 30 people dump certain amount them.,6
good know.,6
go detail,6
don’t beg you!,2
"right then, we’ll definite answer monday, think say confidence, you’ll fit well here.",6
really?!,5
absolutely. relax,6
who? waitress went last month?,5
know? forget it!,1
"no-no-no-no, no! who, talking about?",5
"no, i-i-i-i don't, actually know",2
ok!,6
"right, well...",6
"yeah, sure!",6
"hey, mon.",6
hey-hey-hey. wanna hear something sucks.,6
ever.,0
chris says they’re closing bar.,1
way!,5
"yeah, apparently they’re turning kinda coffee place.",6
coffee! gonna hang now?,4
got me.,1
get beer.,6
"hey, pick roommate?",6
betcha!,0
italian guy?,6
"um-mm, yeah right!",0
"oh god, oh god! poor monica!",5
"what, what, what?!",5
what?!,5
wrote poem.,6
"look, 'my vessel empty nothing inside.",6
"i've touched you, seem emptier still.'",6
"thinks monica empty, empty vase!",5
"oh, totally. oh, god, oh, seemed happy too.",1
done.,6
hey!,5
hi!,0
here?,5
"ah y'know, building paper route i...",6
oh.,6
hi.,6
hi.,6
how’d go?,6
"oh well, woman interviewed pretty tough, y'know thank god mark coached me, started talking fall line, got happy wouldn’t shut up.",0
i’m proud you.,0
too!,0
"listen, i’m ah, i’m sorry i’ve crazy jealous and, it’s like lot, so...",1
know.,6
yeah.,6
yeah.,6
ameri-can.,6
ameri-ccan.,6
ameri-can. y'know it’s,6
everybody!!,5
good job joe! well done! top notch!,0
liked it? really liked it?,5
"oh-ho-ho, yeah!",0
part exactly?,6
whole thing! go?,6
"oh no-no-no, give specifics.",3
"love specifics, specifics best part!",0
"hey, scene kangaroo? did-did like part?",6
surprised see kangaroo world war epic.,5
fell asleep!!,3
kangaroo!,3
didn’t take suggestions!,3
that’s coming buddy.,6
i’ll see later.,6
don’t go!,1
i’m sorry.,1
i’m sorry!,1
look!,5
guy fell asleep!,3
fell asleep too!,3
mad him!,3
"or, call ambulance.",3
"okay, look, think tell rachel messed dessert.",6
"what?! everybody? it’s thanksgiving, not...truth-day!",3
"yes, dying wish ring.",6
"see, i’m buried ring spirit going wander nether world eternity",6
"okay, that’s enough honey!",6
don’t know. let see ring.,6
"great! okay, here.",0
right.,6
thank you. thank you. thank you!,0
what've to?,6
"oh, know, usual, teaching aerobics, partying way much.",6
"oh, case wondering, legs new james bond poster.",6
hold moment? another call. love her.,0
know.,6
i'm back.,6
"so, gonna get together what?",6
"um, absolutely. uh, 'bout tomorrow afternoon? know uh, central perk village, say, five-ish?",6
"great, i'll see then.",6
ok. ok. phone finally paid off.,0
"even though good bob impression, i'm thinkin' sees tomorow, probably gonna realize, ""hey, bob.""",6
"i'm hoping bob show up, seek comfort open arms wry stranger next table.",6
oh god. pure evil.,4
"ok, pure evil, horny alone. i've done",3
nobody!,3
nobody respects bucket!,3
believe people put here!,3
look!,3
"okay, look like garbage you?",3
no.,6
wedding.,6
"right, y’know what? really late! let’s go! let’s go! let’s go!!",3
fine. you’ll-you’ll watch video get back.,6
go phoebe! go phobo! phewbedo! phaybobo.,0
thank you.,6
thank you.,6
"right, let’s go! bye, pheebs!",0
"bye, pheebs!",0
london baby!!,0
"oh, need hug? don’t bring anything!",0
hey!,6
hey! estelle lined bunch auditions tomorrow i’ll health insurance back time.,0
"that’s great, shouldn’t toilet right now?",4
what?!,5
what’s wrong you?,4
nothing!,6
"well, i-i got blinding pain stomach lifting weights before, uh passed uh, haven’t able stand since.",2
"um, don’t think it’s anything serious.",6
sounds like hernia. to—you-you go doctor!,5
"way! ‘kay look, go doctor anything it’s gonna thing sticking stomach!",2
that’s hernia.,4
start working again? damn 15s!,3
love place! guy from?,0
uh that’s eighteenth century indian artifact calcutta.,6
"oh wow! so, you’re dinosaurs.",5
much more.,6
"well, well sum up, we’re fun, look young.",6
okay,6
that’s enough. so… so…here’s key apartment.,6
really?!,5
really.,6
don’t think fast.,6
get out!,3
"ross, talk minute?",6
"yes, please! so, what's going on?",6
"uh, well... joey broke up.",1
"oh god, wh-what happened?",5
"joey great guy, we're just... different! mean, speech kept laughing homo erectus!",1
knew him!,3
"anyway just, uh, think best.",1
"hey, ok?",6
guess.,1
hum... another reason thought time end joey.,6
started realize feelings someone else.,6
"ok geller. last day conference, know happens keynote speaker.",6
"oh, professor clerk we're kind middle conversation, here.",6
"yeah, guys throw pool later?",6
could throw,0
"ok, gentlemen!",3
please!,3
little old this?,3
"mean, we're scientists, right?",6
we're academics.,3
importantly i... you-you catch us first.,0
"go, go, go!",0
"go, go, go!",0
"oh yeah, everybody wants hat!",0
oy!!,4
what’s sand?,5
"oh, yeah, bob said might flood damage.",6
"yeah, either that, really big cat.",6
"okay, see blind guy right there? i'm gonna bash head later.",3
"oh umm, big scene coming up. big scene coming up.",0
"said, ""big lima bean, bubbling up."" would understand difference?",6
rach? doing?,6
"oh boy, can't watch. scary!",2
diaper commercial.,6
"oh yeah well, know me, babies, responsibilities, ahhh!!!",2
pizza delivery!,0
i'll get it! get that!,0
hi!,0
hi!,0
"hey, wanna get something eat uh, wanna see long throw ball back forth? huh?",6
"uhh, ball thing.",6
yeah?,6
"hey ross, great could go two straight hours without dropping it?!",0
