text,solution
"i'm afraid can't let that, joe.",6
"i’ve read kinds books pregnancy giving birth, i-i didn’t think read part baby comes.",6
they’re listening me?,5
bug me.,4
joey? what’s up?,6
oh hello.,6
"oh yeah. old work pants, sergio valente’s.",6
thank much.,0
bing! got numbers me?,0
"okay, phoebe, dr. oberman. strong feelings fonzie",6
"you’re right, thanks keeping honest dad.",6
"no, two.",6
really?,5
"rachel, one customers seems left billfold. joshua bergen.",6
"right, got stop!",3
"yes! now, feels terrible! really wants make up! gotta find her.",3
"brought bunch stuff house, check out. ha-ha.",0
y’know wouldn’t kill ya respect wife’s privacy!,0
wow! place incredible! sting’s pen…that gave phoebe. come on! secret passageway!,0
joey.,6
"got go, ah, i’ll see guys later.",6
no-no-no!,6
phoebe mad!,3
i'm sorry. i'm done. i'm done.,6
ni-chou chi-ma!,0
"well ah, actually kinda need talk too.",6
"it’s us sea, ross!",6
"i'm calling say um, everything's fine i'm really happy",6
"i’m sorry, know must really hard, it’s over.",1
"well, much changed last five minutes.",6
oh god.,5
gimme this.,6
"well, i’m gonna talk",6
"well let’s-let’s look objectively, think date",6
"well, chandler bar",6
what?!,5
oh god!,5
what? i…i figured since you’re pregnant you’re gonna seeing people.,5
"anyway uh, great idea!",0
"go little boy, go!",3
could be?,5
"hey, thanks teachin' us cross-eyed mary. guys, gotta play regular game.",6
minsk?,5
hmph.,6
don’t know got opened?!,5
witness return calls we're gonna see surprise coming home.,6
"don’t know, something either trees disease—ralph mumbles lot.",6
hey.,6
"oh that’s right, i’m coming back later father.",6
"oh, can't believe this! uterus inhospitable environment? trying hard good hostess!",5
yeah. right.,6
know. use it.,4
"let's see, third floor",6
i’m gay. especially wouldn’t want think gay.,0
oh good!,0
what? i’m said.,1
money wrong hand.,6
gonna do?,5
"okay now, make final decision uh, want make sure personalities match.",6
go back enjoying little hamburger.,0
"i’m supposed drink coffee, makes gassy.",6
"god, thinking about?",5
"look, big deal, monica chandler it.",6
"one waiting much have, ok?",3
hey! one’s turkey burger?,6
guys?,3
don’t! go back repeating!,2
"no, six years.",6
that—this milk mine.,6
stalin...stalin...do know name? sounds familiar.,6
oh god you’re right.,0
"hey, wanna joey favor, maybe go joey.",6
"wow, looks like a, like holiday card y’know, tree middle skaters snow.",0
"ho-ho, hard throw underwear again?",3
okay.,6
would tell him?,6
lose stuff!,3
"oh, pig man...how see this?",3
"wedding off, sloppy immature!",3
really?,5
oh! oh!,4
good job joe! well done! top notch!,0
"no, wait, oh, sorry about?",5
y’know actually great time me.,1
okay.,6
"brought something want give you, assuming course want it.",6
"i'll find bob, i'll get him.",6
"yeah, i’m gonna go doctor went school mini-mall.",4
"yeah, didn’t expect live baby you?",5
"oh, right.",6
"know, know, i'm idiot.",0
"ben, ready?",6
there?,6
do?,5
"y'know, ocean right there.",6
oh real person?!,5
"yeah, too.",1
"hey monica, there’s customer wants complement chef, let in?",6
two.,6
tell little secret?,6
really? okay. great!,0
somebody went college. wow. it? i’m sorry.,5
make deposit?,6
i’ll really appreciate it.,6
"great. uhh, tell husband stopped by.",6
"okay, cause when-when said, ""i can’t wait hear first words,"" thought, ""there’s trick.""",5
‘bout fix two up?,0
know. thanks.,6
"not, totally hung him!",3
"oh, no. i'm fine. i'm fine.",6
"yeah, 300 guys went high school with.",6
hi.,6
"oh chandler, know, know... oh, hey! see nipples shirt!",1
yeah!,6
"yeah, we-we feel kinda responsible.",3
"well, better come here. can’t see bride wedding dress.",6
"well, actually, got sing 'memo-'.",6
son bitch!,3
can?,5
don't! stop it! stop it! stop it! stop it!,3
that’s…kinda hot.,5
we’ll quick check.,6
kissed another woman!,3
"wayne, chandler.",6
brooklyn heights.,6
sure?,0
going you? since crazy babies?,5
"oh y'know, really quit. okay, let's quit!",0
"uh, little chandler turned girl, gonna name her?",6
"know is, us getting ready prom.",6
i’m sorry husband cheated you.,1
look emma!,5
"known fact women love babies, right?",6
how's maniac?,6
i-i’ll go tell ross finds i’ll gentle.,6
"hi! right, let’s go shoppin’!!",0
"too, get goin'.",6
"ma, you’re asking marry you?",5
excellent.,0
leaving.,6
"well, let's go bad one make out.",6
"yeah, cheerie-o!",0
score! disposable cameras?,0
"well, listen, great i'm officially wiped.",6
"oh come on, gonna do, hours won’t stop crying.",1
so.,6
oh god!,5
thank you.,6
"it’s gotta be, it’s gotta going somewhere right?",0
oh good god! want baby bad go steal it!,3
so?,6
hi!,0
help out!,0
no!,3
"see, now, would date girl.",6
why?,5
no! don’t know system! there’ll nobody messing system!,3
"well, pretty big commitment, mean, one us wants move out?",6
i’m serious!,3
well maybe questions.,6
"because, don’t care.",6
"okay, guys, relax. doooo.",6
okay y'know pinchable butt bulging biceps—she knows!,3
little village people.,6
"right look, think it’s time settle down. y'know? make choice, pick lane.",6
"monica, don’t even bed, sleep ball floor!",3
i’m okay. think it’s going well. think they’re fun? talking fast?,6
...yeah?,6
"well, official good movies.",1
wow.,5
one? bald tall?,5
really best work.,0
found elizabeth’s dad wants meet me.,1
"no, let right now!!",0
"i-i hurt three huge men, gave guy bloody nose—i mean i-i’m proud but, really am.",3
guys feel safe.,6
"look ben, toy protects u.s. oil interests overseas!",0
phoebe! put ideas head!,3
how's hair?,6
"know! hey, how’s chandler doin’?",6
no.,6
works you.,6
that’s mailman! that’s,5
oh!,5
going? vicar won’t home hours.,0
"reactor’s gonna blow three seconds, we’re never gonna make it!",2
jenny’s giving since moved!,3
"dude, didn’t say",6
suppose used ring designer that.,0
clearly there's vibe going us.,6
"no-no hey buddy, please let dance girl, really like think shot.",1
ok.,6
you…know?,5
"yeah. course update little bit. hey, way, great thinking catching me!",0
hey.,6
ummm. oh! i’m sorry. it’s little old,0
"okay, we’ll right in. ah, boss try slap today?",6
kissed best ross!...or something effect.,3
couple forms fill out.,6
"hey ross, one co-stars, dirk. dirk, good friend ross.",6
okay.,6
"he'll all, 'yes!'",3
ohh!,5
"oh no-no-no, it’s one night week, plus get take",6
yeah.,6
okay.,6
well suite want.,6
what?! oh.,5
didn’t think gay. now.,0
"hey, what's up?",6
"she, buys clothes stores i'm intimidated sales people.",3
really? i’ve dealing dr. wells.,5
ooh!,5
"what? going do? mean how, going tell chandler?",5
pheebs...,6
he's gonna guy goes complain you.,6
"umm, you-you sister seem umm, special bond,",6
"mean, think would’ve happened either way.",6
little bigger.,6
okay.,6
yes! smart! love you.,0
"oh, yeah, i’m not, i’m hungry.",1
no!,0
"yep, sure showed hassidic jewellers thing two softball..",0
"need right now, ok.",3
"well, old lady died.",1
love machine.,6
"okay. honey, would love go me. what?",0
"don’t see it. dancing tall guy there. tall guy, raise hand!",6
oh god! joey!,5
"anyway, umm um, hiking",6
"no, misunderstand, okay? me! touched bicep crying loud!",3
"no, mean tonight, building. suddenly. lives.",6
watch lady!,3
peach pit.,6
"uh, little bit. she-she-she walked thought kissed",2
"no, told me, thinks fox.",6
monica? gonna proud me. got us dates two unbelievably cute nurses.,0
"um, now. phoebs.",6
wanna see what’s hand. wanna see trash.,4
"uh, went bar. uh, walked around while.",6
"oh, am, side still hurts crashed yesterday.",6
"uhh, yes isn't. okay, go.",1
"right, so, supposed call you?",6
"hey rach, tampons penny. let’s stock up.",0
really? me?,5
"oh, i’m sorry. thank chandler.",0
don’t know. do-do clothes on?,6
see that’s think you’re wrong. we’ve playing babies man man. really playing zone defense.,6
okay then.,6
tastes like feet!,4
"y’know what? i’m talking you! go back sleep! you, rapist?!",3
he's dropper!,3
what's gonna be?,0
you?,3
stupid!,3
"oh-ho, yeah. yeah, hand guy.",6
giving kind of…sexy professor vibe?,3
whooooaaaa....,5
ok.,6
wow! know that?!,5
joseph.,6
whoa. really good.,5
hey!,6
"no, no, keep trying, y’know?",3
oh yeah man. joey.,6
"well, people!",1
gave,6
aww!,5
"seriously, y’know contracts gave you, overnight them?",2
"wanna talk, mean come over?",6
doesn’t mean talk it!,6
too.,3
"ohh, i’m sorry.",1
always said i'd make it.,0
hey-hey pheebs!,0
y’know what?,6
mean those-those little colored labels put folders?,6
"hey, i've honing!",3
okay. no. thanks.,6
promise you’ll get taken care right away?,6
regina philange.,6
nose bleeding!,5
"what, what, holiday?",3
go ahead.,6
"yeah! sure! yep! oh, y'know what? heard shot right now, i'd throw body you.",0
no.,6
there’ll perhaps 30 people dump certain amount them.,6
why?,5
"well, welcome! glad could help.",0
"there's beautiful woman eight, nine, ten o'clock!",0
"look, honey, tried make nice, doesn’t work.",3
don’t wink me. put apron.,3
almost never.,3
"yeah, finally stopped crying yesterday, found one richard's cigar butts terrace, so.",6
mine!,3
post?,5
"ooh, phoebe’s here! okay, let’s turn lights we’ll watch movie!",0
here? coast’s way there.,5
think check way.,6
waitressing?,5
nothing.,6
don’t see reason would again.,0
"uhh, ball thing.",6
wow! could everyone totally see robe?,5
"y’know, i’m actually glad phoebe called.",0
wow! fortunately,5
"okay, name cool enough pull off?",5
he’s love british chippy!,1
no.,6
"well yeah, lied before.",1
hello.,6
that's terrible.,3
"look, monica",6
like wouldn’t believe. wow! great place.,5
"it’s not! want it, you’re gonna win it!",3
"hey, is, is, chandler here?",6
"no. no, uh, loved way feels everybody thinks porsche.",0
wanna put label it.,6
"oh, well thank advance.",0
"oh, cannot wait read front page post tomorrow!",0
what'd tell you? what'd tell you?,0
god intended it.,6
"oh come ross, think we’re losers here.",6
"oh, also speak little french. voulez-vous coucher avec moi ce soir? why? say?",0
"really nervous accent uh, came out.",1
i’m here!,6
rachel?,6
"monica, betting apartment, don’t know this.",2
right!,0
"yeah, got uh, got plans.",6
put gel it.,6
hi!,0
sorry. sorry.,1
can't walk away! i've put four hours!,3
tell please?,6
"little louder, okay, think there's man twelfth floor coma quite hear you...",3
"oh no, one ‘look hidden meaning’ songs.",6
what?,5
relieved?,5
"come joey, don’t make feel badly this.",1
meantime better let drive. license?,6
"okay, okay, what's going on?",6
"eh, tad.",6
"put clip one side, seems stopped curling.",6
is!,0
oh god!,4
pheebs!,0
crime spend time together.,6
oh that’s five ross. five women five babies! babies! doesn’t want come out?,1
swim.,6
"rachel, apartment.",6
don’t care people say.,0
four nine.,6
"no-no-no-no-no-no-no-no… it’s okay, mean i—look rach, know scared whole naked thursday’s thing, don’t that!",6
"good one. actually, ah, terry wants take training again, whenever.",6
know.,6
"look, understand came hit me, deserve it.",1
yeah?,6
"phoebe, don’t look! don’t want see what’s there!!",2
people'll scooch down.,6
favorite part,6
oh well,6
gotta take care yourselves!,6
"dude, sorry said!",1
"yeah but, maybe it’s think. maybe it’s tell monica i’m sorry i…drank last milk.",6
"ring? grandmother first came country, ring clothes back her.",5
think good idea find everything's ok. routine tests.,6
wear everyday.,0
"so, happens old guys?",1
"y'know, sensed stop. we're okay?",6
"wait, wait, wait, wait, wait.",5
joey? joey tribbiani?,6
"okay, wait. right, that’s it, okay, i’m here. going embarrassed anymore!",3
what's look like?,6
'cause there.,6
"oh-oh-oh, symbolism! uh, the-the uh, wildness mores,",0
anyway?,6
"oh good, oh joey chandler back.",0
"go, go, go!",0
"oh, can’t watch this.",2
"tommyyyy! say, what’s favourite thing summer?",0
"okay, can’t imagine, can’t imagine life without you.",2
"no, that's graduation song.",6
"impossible find apartment! lives like hot girl parallel universe, something.",1
"ok, ok, ok, ok, goes.",6
we’re still side door.,6
honey! dinner’s ready!,0
"well, don’t anything copy, going there?",6
"hey, that’s never gonna make way here, buddy!",3
"maybe, game could enjoy eight year old small batch basel hadens.",6
go.,6
how's going?,6
"oh, well tell issac everything.",6
"yeah, maybe.",1
"well, thinking i, think best way would be, not.",6
oh. mind join you?,6
mean anything!,3
hot cried sleep last night.,1
says marcel's humping thing's phase. apparently he's reached sexual maturity.,1
hi joey.,6
like girl strong jaw.,1
"wedding gift you, hotel would like give honeymoon suite.",6
‘kay!,0
"oh, brought back apartment.",6
"i’m full, yet know stop eating this, i’ll regret it.",6
"kinda like, you're, know.",6
who?,6
mr. heckles.,6
"yeah, go!",0
"oh god, can't believe two-two children.",5
"guys! bananas, cream, beef! i-i cannot believe ate wouldn’t feel bad!",5
"what. oh no, rolled juice box.",1
done.,6
"no, i-i-i-i don't, actually know",2
want keep one.,6
going tell us? think gonna get away that?,3
i’ve looking like month!,5
"thank you, monica.",0
get you!!,0
"okay, look, gonna affect you?",6
hmm?,6
one! ten! said ten! can’t take back!,3
whoo-ho-ho!,0
thanks.,6
remember guy gave bad review? well… i’m getting revenge!,3
"oh, thank you! what’s going on?",0
that’s think.,6
"said, ""why call check?",6
"but, told phone.",5
"joey, can’t keep yourself, know this, tell him.",6
"okay, go. ready?",6
saying. run hot water bang head table?,5
we’ll need rachel testify judge.,6
tell it!,6
"oh, i'm still mad also bring happiness lots kids who's moms kill themselves, supporting them, i'm good thing, i'm",3
"hey buddy, think borrow uniform thursday?",6
come apartment! come apartment! oh! know queen high!,3
electrical plans building.,6
"right, let see. chandler sex tonight? count it. seems like works me.",6
know he's gay?,6
"yeah, okay, give try!",6
"yeah no, i’m telling rachel great eye stuff.",6
"oh, no-no-no-no-no-no!!",2
anybody gonna eat that?,6
"hey, there’s uh, people outside, askin’ candy.",6
"sum up, i’m professor geller.",6
i’m saying man completely secure masculinity could walk around women’s underwear!,6
hey.,6
"listen, i’ve got secret ya. let win.",6
y'know what?,6
whoo-hoo!,0
okay.,6
even 'pl'.,0
what? secrets? know secrets? they?,5
"know, rachel, ran wedding, you.",3
"uh, well... joey broke up.",1
ah.,6
okay.,6
"kid...? excuse me, uh, that's, that's puck.",3
yowza,3
"reset button, reset button, reset button?",6
people say don’t pay attention.,6
"right, that’s it, we’re going emergency room.",6
10 o’clock.,6
i'm..,6
"oh, look, look, he's closing eyes. look, he's opening eyes.",0
"right, gimme baby.",6
that’s you’re going!,1
"ugh, know makes much worse, ross happy vermont!",1
british?!,5
