text,solution
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,6
Layin n bed with a headache  ughhhh...waitin on your call...,6
Funeral ceremony...gloomy friday...,6
wants to hang out with friends SOON!,6
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",6
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,0
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",1
Hmmm. http://www.djhero.com/ is down,6
@charviray Charlene my love. I miss you,6
@kelcouch I'm sorry  at least it's Friday?,6
cant fall asleep,6
Choked on her retainers,6
Ugh! I have to beat this stupid song to get to the next  rude!,6
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,6
Got the news,0
The storm is here and the electricity is gone,6
@annarosekerr agreed,0
So sleepy again and it's not even that late. I fail once again.,6
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,6
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,3
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,6
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",0
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,6
I ate Something I don't know what it is... Why do I keep Telling things about food,6
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,6
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,6
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",6
Damm servers still down  i need to hit 80 before all the koxpers pass me,6
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,2
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,6
It is so annoying when she starts typing on her computer in the middle of the night!,0
@cynthia_123 i cant sleep,6
I missed the bl***y bus!!!!!!!!,6
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,0
SoCal!  stoked. or maybe not.. tomorrow,6
Screw you @davidbrussee! I only have 3 weeks...,6
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,0
I need skott right now,6
has work this afternoon,3
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,6
mmm much better day... so far! it's still quite early. last day of #uds,6
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,1
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,6
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,6
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,6
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",6
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",6
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,6
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",6
wnna take a bath!!!!,6
Chocolate milk is so much better through a straw. I lack said straw,1
why am i so tired?,6
@djmicdamn hey yu lil fucker i textd yu,6
