text,solution
"In a certain mill lived an old miller who had neither wife nor child, and three apprentices served under him.",neutral
"As they had been with him several years, he one day said to them, ""I am old, and want to sit in the chimney-corner, go out, and whichsoever of you brings me the best horse home, to him will I give the mill, and in return for it he shall take care of me till my death.""",neutral
"The third of the boys was, however, the drudge, who was looked on as foolish by the others; they begrudged the mill to him, and afterwards he would not have it.",disgust
"Then all three went out together, and when they came to the village, the two said to stupid Hans, ""Thou mayst just as well stay here, as long as thou livest thou wilt never get a horse.""",neutral
"Hans, however, went with them, and when it was night they came to a cave in which they lay down to sleep.",neutral
"The two sharp ones waited until Hans had fallen asleep, then they got up, and went away leaving him where he was.",neutral
"And they thought they had done a very clever thing, but it was certain to turn out ill for them.",neutral
"When the sun arose, and Hans woke up, he was lying in a deep cavern.",neutral
"He looked around on every side and exclaimed, ""Oh, heavens, where am I?""",surprise
"Then he got up and clambered out of the cave, went into the forest, and thought, ""Here I am quite alone and deserted, how shall I obtain a horse now?""",sadness
"Whilst he was thus walking full of thought, he met a small tabby-cat which said quite kindly, ""Hans, where are you going?""",joy
"Alas, thou canst not help me.",sadness
"I well know your desire, said the cat.",neutral
"You wish to have a beautiful horse.
14:14	N:N	N:N	Come with me, and be my faithful servant for seven years long, and then I will give you one more beautiful than any you have ever seen in your whole life.",neutral
"Well, this is a wonderful cat! thought Hans, ""but I am determined to see if she is telling the truth.""",neutral
"So she took him with her into her enchanted castle, where there were nothing but cats who were her servants.",neutral
"They leapt nimbly upstairs and downstairs, and were merry and happy.",joy
"In the evening when they sat down to dinner, three of them had to make music.",neutral
"One played the bassoon, the other the fiddle, and the third put the trumpet to his lips, and blew out his cheeks as much as he possibly could.",neutral
"When they had dined, the table was carried away, and the cat said, ""Now, Hans, come and dance with me.""",neutral
"No, said he, ""I won""t dance with a pussy cat.",neutral
"I have never done that yet.""",neutral
"Then take him to bed, said she to the cats.",neutral
"So one of them lighted him to his bed-room, one pulled his shoes off, one his stockings, and at last one of them blew out the candle.",neutral
"Next morning they returned and helped him out of bed, one put his stockings on for him, one tied his garters, one brought his shoes, one washed him, and one dried his face with her tail.",neutral
That feels very soft! said Hans.,neutral
"He, however, had to serve the cat, and chop some wood every day, and to do that, he had an axe of silver, and the wedge and saw were of silver and the mallet of copper.",neutral
"So he chopped the wood small; stayed there in the house and had good meat and drink, but never saw anyone but the tabby-cat and her servants.",neutral
"Once she said to him, ""Go and mow my meadow, and dry the grass,"" and gave him a scythe of silver, and a whetstone of gold, but bade him deliver them up again carefully.",neutral
"So Hans went thither, and did what he was bidden, and when he had finished the work, he carried the scythe, whetstone, and hay to the house, and asked if it was not yet time for her to give him his reward.",neutral
"No, said the cat, ""you must first do something more for me of the same kind.",neutral
"There is timber of silver, carpenter""s axe, square, and everything that is needful, all of silver, with these build me a small house.""",neutral
"Then Hans built the small house, and said that he had now done everything, and still he had no horse.",neutral
Nevertheless the seven years had gone by with him as if they were six months.,neutral
The cat asked him if he would like to see her horses?,neutral
"Yes, said Hans.",neutral
"Then she opened the door of the small house, and when she had opened it, there stood twelve horses, such horses, so bright and shining, that his heart rejoiced at the sight of them.",joy
"And now she gave him to eat and drink, and said, ""Go home, I will not give thee thy horse away with thee; but in three days"" time I will follow thee and bring it.""",neutral
"So Hans set out, and she showed him the way to the mill.",neutral
"She had, however, never once given him a new coat, and he had been obliged to keep on his dirty old smock-frock, which he had brought with him, and which during the seven years had everywhere become too small for him.",neutral
"When he reached home, the two other apprentices were there again as well, and each of them certainly had brought a horse with him, but one of them was a blind one, and the other lame.",neutral
They asked Hans where his horse was.,neutral
"It will follow me in three days time.""",neutral
"Then they laughed and said, ""Indeed, stupid Hans, where wilt thou get a horse?""",disgust
It will be a fine one!,neutral
"Hans went into the parlour, but the miller said he should not sit down to table, for he was so ragged and torn, that they would all be ashamed of him if any one came in.",disgust
"So they gave him a mouthful of food outside, and at night, when they went to rest, the two others would not let him have a bed, and at last he was forced to creep into the goose-house, and lie down on a little hard straw.",neutral
"In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor miller""s boy.",joy
"And a magnificent princess alighted from the coach and went into the mill, and this princess was the little tabby-cat whom poor Hans had served for seven years.",neutral
"She asked the miller where the miller""s boy and drudge was?",neutral
"Then the miller said, ""We cannot have him here in the mill, for he is so ragged; he is lying in the goose-house.""",neutral
"Then the King""s daughter said that they were to bring him immediately.",neutral
"So they brought him out, and he had to hold his little smock-frock together to cover himself.",neutral
"The servants unpacked splendid garments, and washed him and dressed him, and when that was done, no King could have looked more handsome.",neutral
"Then the maiden desired to see the horses which the other apprentices had brought home with them, and one of them was blind and the other lame.",neutral
"So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his yard.",surprise
"And that is for the third millers boy,"" said she.",neutral
"Then he must have the mill, said the miller, but the King""s daughter said that the horse was there, and that he was to keep his mill as well, and took her faithful Hans and set him in the coach, and drove away with him.",neutral
"They first drove to the little house which he had built with the silver tools, and behold it was a great castle, and everything inside it was of silver and gold; and then she married him, and he was rich, so rich that he had enough for all the rest of his life.",neutral
"After this, let no one ever say that anyone who is silly can never become a person of importance.",neutral
There was once on a time a princess who was extremely proud.,joy
"If a wooer came she gave him some riddle to guess, and if he could not find it out, he was sent contemptuously away.",disgust
"She let it be made known also that whosoever solved her riddle should marry her, let him be who he might.",neutral
"At length, therefore, three tailors fell in with each other, the two eldest of whom thought they had done so many dexterous bits of work successfully that they could not fail to succeed in this also; the third was a little useless land-louper, who did not even know his trade, but thought he must have some luck in this venture, for where else was it to come from?",neutral
"Then the two others said to him, ""Just stay at home; thou canst not do much with thy little bit of understanding.""",neutral
"The little tailor, however, did not let himself be discouraged, and said he had set his head to work about this for once, and he would manage well enough, and he went forth as if the whole world were his.",joy
"They all three announced themselves to the princess, and said she was to propound her riddle to them, and that the right persons were now come, who had understandings so fine that they could be threaded in a needle.",neutral
"Then said the princess, ""I have two kinds of hair on my head, of what color is it?""",neutral
"If that be all, said the first, ""it must be black and white, like the cloth which is called pepper and salt.""",neutral
"The princess said, ""Wrongly guessed; let the second answer.""",neutral
"Then said the second, ""If it be not black and white, then it is brown and red, like my father""s company coat.""",neutral
"Wrongly guessed, said the princess, ""let the third give the answer, for I see very well he knows it for certain.""",neutral
"Then the little tailor stepped boldly forth and said, ""The princess has a silver and a golden hair on her head, and those are the two different colors.""",joy
"When the princess heard that, she turned pale and nearly fell down with terror, for the little tailor had guessed her riddle, and she had firmly believed that no man on earth could discover it.",fear
"When her courage returned she said, ""Thou hast not won me yet by that; there is still something else that thou must do.",neutral
"Below, in the stable is a bear with which thou shalt pass the night, and when I get up in the morning if thou art still alive, thou shalt marry me.""",neutral
"She expected, however, she should thus get rid of the tailor, for the bear had never yet left any one alive who had fallen into his clutches.",neutral
"The little tailor did not let himself be frightened away, but was quite delighted, and said, ""Boldly ventured is half won.""",joy
"When therefore the evening came, our little tailor was taken down to the bear.",neutral
"The bear was about to set at the little fellow at once, and give him a hearty welcome with his paws: ""Softly, softly,"" said the little tailor, ""I will soon make thee quiet.""",anger
"Then quite composedly, and as if he had not an anxiety in the world, he took some nuts out of his pocket, cracked them, and ate the kernels.",joy
"When the bear saw that, he was seized with a desire to have some nuts too.",sadness
"The tailor felt in his pockets, and reached him a handful; they were, however, not nuts, but pebbles.",neutral
"The bear put them in his mouth, but could get nothing out of them, let him bite as he would.",neutral
"Eh! thought he, ""what a stupid blockhead I am!",disgust
"I cannot even crack a nut!"" and then he said to the tailor, ""Here, crack me the nuts.""",neutral
"There, see what a stupid fellow thou art! said the little tailor, ""to have such a great mouth, and not be able to crack a small nut!""",neutral
"Then he took the pebble and nimbly put a nut in his mouth in the place of it, and crack, it was in two!",neutral
"I must try the thing again, said the bear; ""when I watch you, I then think I ought to be able to do it too.""",neutral
"So the tailor once more gave him a pebble, and the bear tried and tried to bite into it with all the strength of his body.",neutral
But no one will imagine that he accomplished it.,neutral
"When that was over, the tailor took out a violin from beneath his coat, and played a piece of it to himself.",neutral
"When the bear heard the music, he could not help beginning to dance, and when he had danced a while, the thing pleased him so well that he said to the little tailor, ""Hark you, is the fiddle heavy?""",joy
"Light enough for a child.
34:34	N:N	H:H	Look, with the left hand I lay my fingers on it, and with the right I stroke it with the bow, and then it goes merrily, hop sa sa vivallalera!",neutral
"So, said the bear; ""fiddling is a thing I should like to understand too, that I might dance whenever I had a fancy.",neutral
What dost thou think of that?,neutral
Wilt thou give me lessons?,neutral
