text,solution
@aandraous @britishmuseum @AndrewsAntonio Merci pour le partage! @openwinemap,neutral
Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,joy
@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,joy
@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,joy
@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,joy
@NationalGallery @ThePoldarkian I have always loved this painting.,joy
"@britishmuseum say wot, mate?",neutral
Two workshops on evaluating audience engagement @NationalGallery + @Cambridge_Uni early July http://t.co/8X3nLQVfQg http://t.co/4pNnjGzmEP,neutral
"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas (@FitzMuseum_UK) http://t.co/e2MUQsbRBR",neutral
Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,joy
"""1...2..."" ""non arrête mon brush!"". l.Alma|A favourite custom|1909 @NationalGallery #bonlundi http://t.co/HpjvSJHGhP",neutral
"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... http://t.co/wdV2lzmgLu via @NationalGallery",neutral
Yr 9 art students are off to the @britishmuseum today. Enjoy!,joy
@NationalGallery Indeed,neutral
“@britishmuseum: More #Waterloo200? Live #Periscope tonight with Dan Snow @thehistoryguy in #BonaparteAndTheBritish http://t.co/yEav7l6Lpq”,neutral
New digital installation by Girton Artist in Residence @SonnyVadgama will be projected on the façade of the @FitzMuseum_UK tonight from 9pm!,neutral
@BarbyWT @britishmuseum so beautiful,joy
I'm with (with Sussanna at @nationalgallery) [pic] — https://t.co/RT5OXRAmvR,neutral
@britishmuseum awesome museum,joy
@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,anger
A sneak peek @BritishMuseum’s #IndigenousAustralia exhibition http://t.co/cZFrjkM2pK,neutral
Couldn't agree more ; counting the days till we see @kettlesyard again ! https://t.co/5Re1PZr3HZ,neutral
#bennicholson @kettlesyard http://t.co/niI8OQYb3e http://t.co/RBMeP7d3tM,neutral
@museum140 @NationalGallery of course! #InstaMuseum,neutral
@britishmuseum soo beautiful,joy
"@NationalGallery I do, I do, I do. :)",joy
@tateliverpool one of my favourite paintings! He was a great artist,joy
Free CPD afternoon for @PlymouthMuseum's 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at http://t.co/2ctn5flODc,neutral
The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,joy
@plymouthcc @PlymouthMuseum,neutral
"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",joy
"Jack from @britishmuseum blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection - http://t.co/Tkd8aep3OT",neutral
@_TheWhitechapel @mitpress @monoskop http://t.co/fxp5kjuGV2,neutral
@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!,joy
@britishmuseum @Ophiolatrist Spain? Egypt?,neutral
Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1,joy
"Ædwen's Brooch - story of an #AngloSaxon lady, filmed at @WestStowNews for @ElyMuseum &amp; @britishmuseum exhibition https://t.co/oRdig1DerL",neutral
@NationalGallery Beautiful painting.  Thank you.,joy
#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL,joy
